Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,2.53217572619465E-17,7.19066287409982E-17,-1.56894244258306E-05,0,0,0,0.316845943723259,0.000460961159222179,1.87310703833902E-07,-1.63450889040478E-21,0.000241970700725281,-6.97313256382202E-22,0.00064902737512961,0,0,0,0,0,0,package://ASM3_1/meshes/base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM3_1/meshes/base.STL,,Base-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,0.0330000000000001,5.02346878692647E-05,-5.02346878692821E-05,0,0,0,0.019731071348658,1.23734036568865E-05,-2.91599083472474E-08,-2.91599083472413E-08,9.77086440607925E-06,-1.30180161071189E-19,9.77086440607927E-06,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link1.STL,,Leg1-1-1,坐标系1,基准轴1,joint1,revolute,-0.065506,0.12051,0,0,0,2.0687,base,0,0,-1,0,0,-1.05,1.05,,,,,,,,
Empty_Link7,0.047,-0.000657371115648682,6.38378239159465E-16,0,0,0,0.073610808678494,1.39088073615343E-05,3.01540051812553E-22,-1.51376222312073E-08,2.1644430327163E-05,-1.92649880526353E-21,1.27657759015739E-05,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link7.STL,,Leg2-1-1,坐标系7,基准轴7,joint7,revolute,0.066,0,0,-1.5708,0,0,Empty_Link1,0,0,-1,0,0,-1.57,1.57,,,,,,,,
Empty_Link13,0.0104437249548174,0.0900463290285191,-4.99966688650849E-05,0,0,0,0.0425517554776167,2.49437219866352E-05,-7.4830927849995E-07,-3.47413323034397E-12,8.34117254759518E-06,7.59739058156715E-12,2.10424480740808E-05,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link13.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link13.STL,,Leg3-1-1,坐标系13,基准轴13,joint13,revolute,0.094,0,0,0,0,0,Empty_Link7,0,0,1,0,0,-1.57,1.57,,,,,,,,
Empty_Link19,-0.00100000000000219,-8.88178419700125E-16,-4.30211422042248E-15,0,0,0,0.000201061929829747,1.60849543863798E-09,-3.83944564260796E-24,-1.33530389399641E-23,1.07233029242532E-09,0,1.07233029242532E-09,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link19.STL,1,1,1,1,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link19.STL,,add_1-1,坐标系19,基准轴20,joint19,revolute,0.010229,0.14333,-5E-05,0,0,1.5708,Empty_Link13,-1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link2,0.0330000000000001,5.02346878693141E-05,-5.02346878692717E-05,0,0,0,0.019731071348658,1.23734036568865E-05,-2.91599083472463E-08,-2.91599083472443E-08,9.77086440607924E-06,-1.24802315623297E-19,9.77086440607927E-06,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link2.STL,,Leg1-2-1,坐标系2,基准轴2,joint2,revolute,-0.116,0,0,0,0,3.1416,base,0,0,-1,0,0,-1.05,1.05,,,,,,,,
Empty_Link8,0.047,-0.000657512135363088,-2.25108720576216E-05,0,0,0,0.073610808678494,1.39088073615343E-05,3.63365746503473E-11,7.09337312846388E-22,2.1644430327163E-05,1.40979867157513E-21,1.27657759015739E-05,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link8.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link8.STL,,Leg2-2-1,坐标系8,基准轴8,joint8,revolute,0.066,0,0,-1.5708,0,0,Empty_Link2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
Empty_Link14,0.0104437249299811,0.0900463291127983,-4.99966505389266E-05,0,0,0,0.0425517560330798,2.49437221252634E-05,-7.48309280558836E-07,-3.47651140862238E-12,8.34117266397957E-06,7.60273567428637E-12,2.10424480932041E-05,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link14.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link14.STL,,Leg3-2-1,坐标系14,基准轴14,joint14,revolute,0.094,0,0,0,0,0,Empty_Link8,0,0,-1,0,0,-1.57,1.57,,,,,,,,
Empty_Link20,-0.000999999999999959,0,-4.2128301715183E-15,0,0,0,0.000201061929829747,1.60849543863798E-09,2.9763144516272E-26,-1.30256059549097E-23,1.07233029242532E-09,-7.3468396926393E-40,1.07233029242532E-09,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link20.STL,1,1,1,1,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link20.STL,,add_2-2,坐标系20,基准轴21,joint20,revolute,0.010229,0.14333,-5E-05,0,0,1.5708,Empty_Link14,-1,0,0,0,0,-1.57,1.57,,,,,,,,
Empty_Link3,0.0329999999999996,5.02346878681892E-05,-5.02346878692959E-05,0,0,0,0.019731071348658,1.23734036568865E-05,-2.9159908347247E-08,-2.91599083472473E-08,9.77086440607925E-06,-1.29185359919968E-19,9.77086440607923E-06,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASM3_1/meshes/Empty_Link3.STL,,Leg1-3-1,坐标系3,基准轴3,joint3,revolute,-0.065506,-0.12051,0,0,0,-2.0687,base,0,0,-1,0,0,-1.05,1.05,,,,,,,,
